Country,Continent,all renewables,excluding hydropower,all renewables 2015, difference,all electricity generation,all renewables G,non-hydro renewables
New Zealand,Oceania,81,27.4,80.8,0.18,44.8,36.2,12.26
Vanuatu,Oceania,14.9,14.9,9.1,5.76,0.1,0,0.01
Australia,Oceania,24.6,18.4,14.4,10.23,243.3,59.9,44.78
Fiji,Oceania,57.9,7,46.2,11.7,1.1,0.6,0.08
Falkland Islands,S. America,33.3,33.3,47.4,-14.12,0,0,0.01
French Guiana,S. America,50,6,59,-8.98,1,0.5,0.06
Argentina,S. America,27.1,9.5,30.7,-3.64,137.8,37.3,13.02
Suriname,S. America,58.2,0.7,61.3,-3.08,2.4,1.4,0.02
Colombia,S. America,67.1,1.4,69.4,-2.3,69.7,46.8,0.98
Aruba,S. America,16,16,17.8,-1.85,0.9,0.1,0.15
Guyana,S. America,2.4,2.4,0,0,1.2,0,0.03
Paraguay,S. America,100,0,100,0,48.9,48.9,0
Bolivia,S. America,35.6,5.1,32.5,3.13,9.6,3.4,0.49
Venezuela,S. America,68.4,0.1,64.9,3.5,105.4,72.1,0.1
Chile,S. America,48.3,22.3,44.7,3.57,80.1,38.7,17.89
Peru,S. America,61.6,5.3,54,7.65,55.5,34.2,2.94
Uruguay,S. America,98.3,48.7,89.1,9.18,15.8,15.5,7.69
Brazil,S. America,86,20.1,75,10.96,622,534.7,125.15
Ecuador,S. America,81.2,1.9,54.1,27.07,31.3,25.4,0.59
